branch_id,branch_name,branch_type,address,city,state,zip_code,phone,email,manager_name,opening_date,total_beds,emergency_services,mental_health_unit,operating_hours,accreditation,region,latitude,longitude,status
BR001,HealthCare Plus - Manhattan,Main Hospital,500 East 77th Street,New York,NY,10075,212-555-0001,info@hcplus-manhattan.com,Dr. Rachel Montgomery,2015-03-15,250,Yes,Yes,24/7,Joint Commission,Northeast,40.7681,-73.9539,Active
BR002,HealthCare Plus - Los Angeles,Regional Center,1200 North State Street,Los Angeles,CA,90033,323-555-0002,contact@hcplus-la.com,Dr. James Patterson,2016-06-20,180,Yes,Yes,24/7,Joint Commission,West,34.0549,-118.2426,Active
BR003,HealthCare Plus - Houston,Specialty Clinic,7000 Fannin Street,Houston,TX,77030,713-555-0003,help@hcplus-houston.com,Dr. Maria Santos,2017-09-10,120,No,Yes,Mon-Sat 8AM-8PM,CARF,South,29.7095,-95.3979,Active
BR004,HealthCare Plus - Phoenix,Wellness Center,1300 North 12th Street,Phoenix,AZ,85006,602-555-0004,support@hcplus-phoenix.com,Dr. David Chen,2018-01-25,80,No,Yes,Mon-Fri 7AM-7PM,NCQA,West,33.4594,-112.0676,Active
BR005,HealthCare Plus - Philadelphia,main hospital,3400 Spruce Street,Philadelphia,PA,19104,215-555-0005,care@hcplus-philly.com,Dr. Susan Williams,2019-04-12,200,Yes,Yes,24/7,Joint Commission,Northeast,39.9496,-75.1927,Active
BR006,HealthCare Plus - Chicago North,Regional Center,251 East Huron Street,Chicago,IL,60611,312-555-0006,info@hcplus-chicago.com,,2020-07-18,150,Yes,No,24/7,Joint Commission,Midwest,41.8945,-87.6207,Active
BR007,HealthCare Plus - Miami,Specialty Clinic,1611 NW 12th Avenue,Miami,FL,33136,305-555-0007,contact@hcplus-miami.com,Dr. Roberto Martinez,2021-02-28,90,No,Yes,Mon-Sat 8AM-8PM,CARF,South,25.7910,-80.2095,Active
BR008,HealthCare Plus - Seattle,Wellness Center,1959 NE Pacific Street,Seattle,WA,98195,206-555-0008,help@hcplus-seattle.com,Dr. Jennifer Kim,2021-08-15,70,No,Yes,Mon-Fri 7AM-7PM,NCQA,West,47.6506,-122.3059,Active
BR009,HealthCare Plus - Boston,Main Hospital,330 Brookline Avenue,Boston,MA,02215,617-555-0009,support@hcplus-boston.com,Dr. Michael O'Brien,2015-11-20,220,Yes,Yes,24/7,Joint Commission,Northeast,42.3381,-71.1009,Active
BR010,HealthCare Plus - Denver,Regional Center,1800 Williams Street,Denver,CO,80218,303-555-0010,care@hcplus-denver.com,Dr. Lisa Anderson,2017-05-30,130,Yes,Yes,24/7,Joint Commission,West,39.7357,-104.9635,Active
BR001,HealthCare Plus - Manhattan,Main Hospital,500 East 77th Street,New York,NY,10075,212-555-0001,info@hcplus-manhattan.com,Dr. Rachel Montgomery,2015-03-15,250,Yes,Yes,24/7,Joint Commission,Northeast,40.7681,-73.9539,Active
BR011,HealthCare Plus - Atlanta,Specialty Clinic,80 Jesse Hill Jr Drive,Atlanta,GA,30303,404-555-0011,info@hcplus-atlanta.com,Dr. Thomas Wright,2018-09-05,110,No,Yes,Mon-Sat 8AM-8PM,CARF,South,33.7550,-84.3901,Active
BR012,HealthCare Plus - San Diego,Wellness Center,200 West Arbor Drive,San Diego,CA,92103,619-555-0012,contact@hcplus-sandiego.com,Dr. Patricia Nguyen,2019-12-10,60,No,Yes,Mon-Fri 7AM-7PM,NCQA,West,32.7460,-117.1659,Active
BR013,HealthCare Plus - Dallas,Main Hospital,5323 Harry Hines Boulevard,Dallas,TX,75390,214-555-0013,help@hcplus-dallas.com,Dr. Charles Johnson,2016-03-22,190,Yes,Yes,24/7,Joint Commission,South,32.8130,-96.8495,Active
BR014,HealthCare Plus - Portland,Regional Center,2801 North Gantenbein Avenue,Portland,OR,97227,503-555-0014,support@hcplus-portland.com,Dr. Amanda Lee,2020-01-15,140,Yes,No,24/7,Joint Commission,West,45.5411,-122.6665,Active
BR015,HealthCare Plus - Las Vegas,Specialty Clinic,1800 West Charleston Boulevard,Las Vegas,NV,89102,702-555-0015,care@hcplus-vegas.com,Dr. Robert Garcia,2021-06-20,100,No,Yes,Mon-Sat 8AM-8PM,CARF,West,36.1595,-115.1647,Inactive
